City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,54,19,24,0.5,5,92,103,8
阿克苏地区,65,25,77,0.5,24,96,112,4
阿拉善盟,86,31,50,0.57,21,123,142,10
阿勒泰地区,27,8,0,0.1,14,37,52,6
阿里地区,0,0,0,0.0,0,0,103,0
安康,53,18,53,0.6,30,47,70,8
安庆,76,42,71,0.74,37,103,130,10
鞍山,96,56,140,1.3,32,110,105,24
安顺,54,37,44,0.78,28,33,53,17
安阳,154,117,131,1.06,32,145,165,18
白城,49,15,44,0.3,17,81,97,12
百色,34,21,33,1.1,22,5,13,8
白山,52,18,52,0.8,19,78,93,23
白银,70,16,51,0.5,14,117,122,15
保定,83,51,114,0.5,47,86,133,12
宝鸡,93,69,113,0.94,70,51,107,6
保山,61,16,23,0.55,17,95,111,4
包头,83,61,105,1.62,110,12,91,31
巴彦淖尔,59,25,65,0.97,53,57,100,22
巴中,39,10,21,0.3,17,65,77,4
北海,56,27,59,0.9,15,69,92,6
北京,93,69,108,0.63,42,104,126,8
蚌埠,83,57,114,0.58,51,80,133,21
本溪,64,31,75,1.33,35,74,80,21
毕节,63,44,68,0.65,27,48,64,12
滨州,68,46,83,1.2,74,41,110,13
博州,66,14,40,0.15,29,98,117,7
亳州,127,96,131,0.3,18,124,152,8
沧州,83,61,113,0.77,46,89,126,24
长春,70,37,88,0.78,28,73,85,13
常德,45,31,44,0.88,43,55,88,8
昌都,49,9,12,0.7,18,78,96,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,56,16,34,0.53,22,76,106,9
长沙,50,35,42,0.8,46,21,41,5
常熟,65,38,78,0.53,39,86,115,13
长治,111,52,99,0.78,22,128,170,10
常州,75,54,84,0.74,53,75,86,14
朝阳,77,43,102,0.9,39,46,82,14
潮州,49,29,42,0.83,21,89,96,15
承德,61,33,69,0.68,46,64,94,18
成都,54,28,55,0.68,48,45,74,6
郴州,20,5,8,0.6,14,43,39,4
赤峰,50,15,49,0.7,49,40,77,16
池州,73,35,52,0.6,61,60,126,6
重庆,53,36,51,0.67,32,29,46,7
崇左,31,10,0,0.8,7,42,61,2
楚雄州,64,13,24,0.75,11,111,115,19
滁州,87,64,121,0.63,33,116,134,9
大连,68,32,66,0.65,29,133,120,11
大理州,56,12,21,0.55,8,114,106,4
丹东,56,30,59,0.68,20,73,92,11
